ProImmune,AntiImmune
PYCARD,PTPN22
IGF1,PTPN22
HHLA2,PTPN22
TNFSF9,PTPN22
IL2RA,PTPN22
PYDC1,PTPN22
IGF2,PTPN22
IGFBP2,PTPN22
AGER,PTPN22
STAT5B,PTPN22
HSPD1,PTPN22
IL1B,PTPN22
ZBTB1,PTPN22
ZP3,PTPN22
CCR2,PTPN22
SYK,PTPN22
RIPK2,PTPN22
CD83,PTPN22
CD244,PTPN22
NKAP,PTPN22
CD55,PTPN22
AP3D1,PTPN22
CCL19,PTPN22
PRKCQ,PTPN22
RASAL3,PTPN22
NCKAP1L,PTPN22
MYB,PTPN22
PNP,PTPN22
CD80,PTPN22
HSPH1,PTPN22
TGFBR2,PTPN22
ZBTB16,PTPN22
AP3B1,PTPN22
RARA,PTPN22
ITPKB,PTPN22
ADA,PTPN22
CD3E,UBASH3A
IL7,UBASH3A
IL18,UBASH3A
CD276,UBASH3A
IL21,UBASH3A
SART1,UBASH3A
CD47,UBASH3A
NCK2,UBASH3A
SIRPG,UBASH3A
NCK1,UBASH3A
LCK,UBASH3A
ZAP70,UBASH3A
IL12B,UBASH3A
CD24,UBASH3A
EBI3,UBASH3A
ICOSLG,UBASH3A
CD28,UBASH3A
RAB27A,UBASH3A
CLEC4E,UBASH3A
IFNE,UBASH3A
SLC11A1,UBASH3A
IFNA8,UBASH3A
LCP1,UBASH3A
RPS6,UBASH3A
CLEC4D,UBASH3A
IFNA13,UBASH3A
SLAMF6,UBASH3A
IL6,UBASH3A
IFNA6,UBASH3A
IFNA17,UBASH3A
